2016-10-03 13:08:34,810 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\DentistCabinetManagementTool\Git\DentalClinicManagementTool\app\src\test\resources
2016-10-03 13:09:22,035 [Worker-49] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ro.dcmt:app:0.0.1-SNAPSHOT @ D:\DentistCabinetManagementTool\Git\DentalClinicManagementTool\app\pom.xml.
2016-10-03 13:09:22,476 [Worker-49] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/google/guava/guava/20.0-hal/guava-20.0-hal.pom
2016-10-03 13:09:22,483 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.google.guava:guava:jar:20.0-hal is missing, no dependency information available
2016-10-03 13:09:22,730 [Worker-49] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/google/guava/guava/20.0-hal/guava-20.0-hal.jar
2016-10-03 13:09:22,743 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.google.guava:guava:jar:20.0-hal is missing, no dependency information available
2016-10-03 13:09:23,061 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 13:09:23,066 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-10-03 13:09:23,067 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 13:09:23,072 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\DentistCabinetManagementTool\Git\DentalClinicManagementTool\app\src\test\resources
2016-10-03 13:09:23,073 [Worker-49] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of app
2016-10-03 13:09:23,073 [Worker-49] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for app
2016-10-03 13:09:23,076 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 13:09:23,201 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.google.guava:guava:jar:20.0-hal is missing, no dependency information available
2016-10-03 13:09:24,501 [Worker-46] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ro.dcmt:app:0.0.1-SNAPSHOT @ D:\DentistCabinetManagementTool\Git\DentalClinicManagementTool\app\pom.xml.
2016-10-03 13:09:24,504 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.google.guava:guava:jar:20.0-hal is missing, no dependency information available
2016-10-03 13:09:24,520 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.google.guava:guava:jar:20.0-hal is missing, no dependency information available
2016-10-03 13:09:24,813 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 13:09:24,818 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-10-03 13:09:24,819 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 13:09:24,823 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\DentistCabinetManagementTool\Git\DentalClinicManagementTool\app\src\test\resources
2016-10-03 13:09:24,823 [Worker-46] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of app
2016-10-03 13:09:24,824 [Worker-46] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for app
2016-10-03 13:09:24,828 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 13:09:35,963 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.google.guava:guava:jar:20.0-hal is missing, no dependency information available
2016-10-03 13:09:36,342 [Worker-48] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ro.dcmt:app:0.0.1-SNAPSHOT @ D:\DentistCabinetManagementTool\Git\DentalClinicManagementTool\app\pom.xml.
2016-10-03 13:09:36,346 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.google.guava:guava:jar:20.0-hal is missing, no dependency information available
2016-10-03 13:09:36,364 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.google.guava:guava:jar:20.0-hal is missing, no dependency information available
2016-10-03 13:09:36,692 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 13:09:36,698 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
